genre,name,duration,premiereDate
Drama,The Last Letter,128,15-06-2026
Comedy,Office Adventures,95,22-06-2026
Thriller,Midnight Caller,112,01-07-2026
Dark comedy,The Awkward Wedding,103,10-07-2026
Drama,Echoes of Yesterday,142,18-07-2026
Comedy,Holiday Disaster,88,25-07-2026
Thriller,The Vanishing Hour,118,02-08-2026
Drama,Quiet Streets,156,12-08-2026
Comedy,Family Reunion,99,20-08-2026
Thriller,Cold Trail,124,01-09-2026
Dark comedy,Funeral for a Friend,107,15-09-2026
Drama,Letters from the North,168,30-09-2026
